rank,lemma,frequency,core_band,language
396,scheinen,104,Core-1000,de
397,chance,104,Core-1000,de
398,erfolg,104,Core-1000,de
399,hin,104,Core-1000,de
400,staat,103,Core-1000,de
401,trainer,103,Core-1000,de
402,oktober,103,Core-1000,de
403,bestehen,103,Core-1000,de
404,schritt,102,Core-1000,de
405,kennen,102,Core-1000,de
406,fehlen,101,Core-1000,de
407,märz,101,Core-1000,de
408,bestätigen,101,Core-1000,de
409,vielleicht,100,Core-1000,de
410,bedeuten,100,Core-1000,de
411,gleichzeitig,100,Core-1000,de
412,wert,100,Core-1000,de
413,angriff,100,Core-1000,de
414,spd,100,Core-1000,de
415,sogenannter,100,Core-1000,de
416,tatsächlich,100,Core-1000,de
417,meter,100,Core-1000,de
418,wohnung,99,Core-1000,de
419,bayern,99,Core-1000,de
420,unterstützen,99,Core-1000,de
421,juli,98,Core-1000,de
422,dennoch,98,Core-1000,de
423,donnerstag,98,Core-1000,de
424,mitteilen,98,Core-1000,de
425,abend,98,Core-1000,de
426,erfolgreich,98,Core-1000,de
427,knapp,97,Core-1000,de
428,sieben,97,Core-1000,de
429,august,96,Core-1000,de
430,nacht,96,Core-1000,de
431,zahlreich,96,Core-1000,de
432,name,96,Core-1000,de
433,nennen,95,Core-1000,de
434,meinen,95,Core-1000,de
435,markt,94,Core-1000,de
436,schule,94,Core-1000,de
437,eher,94,Core-1000,de
438,donald,94,Core-1000,de
439,ehemalig,94,Core-1000,de
440,offiziell,93,Core-1000,de
441,schließen,93,Core-1000,de
442,stelle,92,Core-1000,de
443,entsprechend,92,Core-1000,de
444,betreffen,92,Core-1000,de
445,sicherheit,92,Core-1000,de
446,raum,92,Core-1000,de
447,daran,92,Core-1000,de
448,offenbar,92,Core-1000,de
449,art,92,Core-1000,de
450,krieg,92,Core-1000,de
451,februar,92,Core-1000,de
452,april,91,Core-1000,de
453,hand,91,Core-1000,de
454,warnen,91,Core-1000,de
455,kritik,91,Core-1000,de
456,kraft,90,Core-1000,de
457,darunter,90,Core-1000,de
458,fragen,90,Core-1000,de
459,november,89,Core-1000,de
460,acht,89,Core-1000,de
461,afd,89,Core-1000,de
462,angebot,89,Core-1000,de
463,frei,88,Core-1000,de
464,mancher,88,Core-1000,de
465,täter,88,Core-1000,de
466,wasser,88,Core-1000,de
467,wort,88,Core-1000,de
468,treten,87,Core-1000,de
469,zählen,87,Core-1000,de
470,gelingen,87,Core-1000,de
471,glauben,87,Core-1000,de
472,öffnen,87,Core-1000,de
473,us-präsident,87,Core-1000,de
474,besonderer,87,Core-1000,de
475,plan,87,Core-1000,de
476,lage,86,Core-1000,de
