rank,lemma,frequency,core_band,language
4259,news,8,Core-5000,de
4260,monatelang,8,Core-5000,de
4261,regulierung,8,Core-5000,de
4262,berger,8,Core-5000,de
4263,infektion,8,Core-5000,de
4264,fussball,8,Core-5000,de
4265,handelskrieg,8,Core-5000,de
4266,vorliegend,8,Core-5000,de
4267,erdbeben,8,Core-5000,de
4268,entschlossen,8,Core-5000,de
4269,schröder,8,Core-5000,de
4270,weitergeben,8,Core-5000,de
4271,umbau,8,Core-5000,de
4272,brot,8,Core-5000,de
4273,reuters,8,Core-5000,de
4274,elfmeter,8,Core-5000,de
4275,stationieren,8,Core-5000,de
4276,zurückweisen,8,Core-5000,de
4277,auslöser,8,Core-5000,de
4278,wonach,8,Core-5000,de
4279,anonym,8,Core-5000,de
4280,unzureichend,8,Core-5000,de
4281,ankurbeln,8,Core-5000,de
4282,einbeziehen,8,Core-5000,de
4283,absichern,8,Core-5000,de
4284,sophia,8,Core-5000,de
4285,grundwasser,8,Core-5000,de
4286,amtierend,8,Core-5000,de
4287,burg,8,Core-5000,de
4288,kapelle,8,Core-5000,de
4289,big,8,Core-5000,de
4290,menschheit,8,Core-5000,de
4291,erholen,8,Core-5000,de
4292,unmöglich,8,Core-5000,de
4293,best,8,Core-5000,de
4294,feiertage,8,Core-5000,de
4295,jochen,8,Core-5000,de
4296,personalie,8,Core-5000,de
4297,geschlecht,8,Core-5000,de
4298,filiale,8,Core-5000,de
4299,watt,8,Core-5000,de
4300,abschleppen,8,Core-5000,de
4301,supermärkt,8,Core-5000,de
4302,rettung,8,Core-5000,de
4303,wanderung,8,Core-5000,de
4304,schranke,8,Core-5000,de
4305,menschenrecht,8,Core-5000,de
4306,beck,8,Core-5000,de
4307,auswählen,8,Core-5000,de
4308,blut,8,Core-5000,de
4309,schlotterbeck,8,Core-5000,de
4310,start-ups,8,Core-5000,de
4311,billig,8,Core-5000,de
4312,umwelt,8,Core-5000,de
4313,beleuchtung,8,Core-5000,de
4314,pistorius,8,Core-5000,de
4315,sparkasse,8,Core-5000,de
4316,malen,8,Core-5000,de
4317,absperren,8,Core-5000,de
4318,strukturell,8,Core-5000,de
4319,bevorstehend,8,Core-5000,de
4320,robin,8,Core-5000,de
4321,beweglich,8,Core-5000,de
4322,heutzutage,8,Core-5000,de
4323,nina,8,Core-5000,de
4324,erneuern,8,Core-5000,de
4325,kläger,8,Core-5000,de
4326,zahlung,8,Core-5000,de
4327,sap,8,Core-5000,de
4328,einhaltung,8,Core-5000,de
4329,gerissen,8,Core-5000,de
4330,erfreulich,8,Core-5000,de
4331,pendler,8,Core-5000,de
4332,zwischendurch,8,Core-5000,de
4333,unterbrechen,8,Core-5000,de
4334,kantonspolizei,8,Core-5000,de
4335,betrüger,8,Core-5000,de
4336,verwandte,8,Core-5000,de
4337,verzweifelt,8,Core-5000,de
4338,ersatz,8,Core-5000,de
4339,unzufrieden,8,Core-5000,de
4340,gefüllt,8,Core-5000,de
4341,binnen,8,Core-5000,de
4342,überfall,8,Core-5000,de
4343,holding,8,Core-5000,de
4344,akku,8,Core-5000,de
4345,gewählt,8,Core-5000,de
4346,wirtz,8,Core-5000,de
4347,höchstens,8,Core-5000,de
4348,bescheiden,8,Core-5000,de
4349,jederzeit,8,Core-5000,de
4350,trauer,8,Core-5000,de
4351,kapitel,8,Core-5000,de
4352,aufbau,8,Core-5000,de
4353,treu,8,Core-5000,de
4354,erobern,8,Core-5000,de
4355,samstagnachmittag,8,Core-5000,de
4356,stadtpolitik,8,Core-5000,de
4357,brannen,8,Core-5000,de
4358,winterlich,8,Core-5000,de
4359,kombinieren,8,Core-5000,de
4360,volumen,8,Core-5000,de
4361,salz,8,Core-5000,de
4362,satt,8,Core-5000,de
4363,bsc,8,Core-5000,de
4364,chemnitz,8,Core-5000,de
4365,wertschätzung,8,Core-5000,de
4366,acker,8,Core-5000,de
4367,neustart,8,Core-5000,de
4368,csd,8,Core-5000,de
4369,verändert,8,Core-5000,de
4370,wohlstand,8,Core-5000,de
4371,beauftragen,8,Core-5000,de
4372,insofern,8,Core-5000,de
4373,ausnutzen,8,Core-5000,de
4374,woher,8,Core-5000,de
4375,entfalten,8,Core-5000,de
4376,leitend,8,Core-5000,de
4377,liam,8,Core-5000,de
4378,gemüse,8,Core-5000,de
4379,steigerung,8,Core-5000,de
4380,kollektiv,8,Core-5000,de
4381,wrack,8,Core-5000,de
4382,chf,8,Core-5000,de
4383,offensiv,8,Core-5000,de
4384,zwingend,8,Core-5000,de
4385,trauern,8,Core-5000,de
4386,maximilian,8,Core-5000,de
4387,dominik,8,Core-5000,de
4388,ausüben,8,Core-5000,de
4389,bekämpfung,8,Core-5000,de
4390,smartphones,8,Core-5000,de
4391,selbstbewusstsein,8,Core-5000,de
4392,keinerlei,8,Core-5000,de
4393,teuerung,8,Core-5000,de
4394,aufforderung,8,Core-5000,de
4395,denkmal,8,Core-5000,de
4396,spekulieren,8,Core-5000,de
4397,evakuieren,8,Core-5000,de
4398,bibliothek,8,Core-5000,de
4399,pflanzen,8,Core-5000,de
4400,nachvollziehbar,8,Core-5000,de
4401,viertelfinal,8,Core-5000,de
4402,experiment,8,Core-5000,de
4403,berner,8,Core-5000,de
4404,regelmässig,8,Core-5000,de
4405,susanne,8,Core-5000,de
4406,verzicht,8,Core-5000,de
4407,hardware,8,Core-5000,de
4408,budapest,8,Core-5000,de
4409,hut,8,Core-5000,de
4410,diana,8,Core-5000,de
4411,wiese,8,Core-5000,de
4412,pen,8,Core-5000,de
4413,diplomat,8,Core-5000,de
4414,bedauern,8,Core-5000,de
4415,kieler,8,Core-5000,de
4416,einsam,8,Core-5000,de
4417,öffentlich-rechtlich,8,Core-5000,de
4418,rundfunk,8,Core-5000,de
4419,schnappen,8,Core-5000,de
4420,rückseite,8,Core-5000,de
4421,autonom,8,Core-5000,de
4422,anstrengung,8,Core-5000,de
4423,leid,8,Core-5000,de
4424,grob,8,Core-5000,de
4425,via,8,Core-5000,de
4426,box,8,Core-5000,de
4427,orchester,8,Core-5000,de
4428,schwung,8,Core-5000,de
4429,who,8,Core-5000,de
4430,tauchen,8,Core-5000,de
4431,bedürfen,8,Core-5000,de
4432,ulm,8,Core-5000,de
4433,jahrzehntelang,8,Core-5000,de
4434,variieren,8,Core-5000,de
4435,hervorbringen,8,Core-5000,de
4436,mandant,8,Core-5000,de
4437,trost,8,Core-5000,de
4438,kompromiss,8,Core-5000,de
4439,hit,8,Core-5000,de
4440,versammlung,8,Core-5000,de
4441,harmonisch,8,Core-5000,de
4442,netzwerke,8,Core-5000,de
4443,bestrafen,8,Core-5000,de
4444,weitermachen,8,Core-5000,de
4445,fernsehsender,8,Core-5000,de
4446,großstadt,8,Core-5000,de
4447,dieter,8,Core-5000,de
4448,kommerziell,8,Core-5000,de
4449,schädigen,8,Core-5000,de
4450,ndr,8,Core-5000,de
4451,torhüter,8,Core-5000,de
4452,besserung,8,Core-5000,de
4453,ministerpräsidentin,8,Core-5000,de
4454,wahnsinnig,8,Core-5000,de
4455,fahrerin,8,Core-5000,de
4456,rückrunde,8,Core-5000,de
4457,rechtsextremismus,8,Core-5000,de
4458,namhaft,8,Core-5000,de
4459,vollziehen,8,Core-5000,de
4460,ausgewählt,8,Core-5000,de
4461,begrenzt,8,Core-5000,de
4462,überstehen,8,Core-5000,de
4463,ausrichtung,8,Core-5000,de
4464,vielzahl,8,Core-5000,de
4465,zusammenstellen,8,Core-5000,de
4466,wendepunkt,8,Core-5000,de
4467,dieb,8,Core-5000,de
4468,siebter,8,Core-5000,de
4469,unfassbar,8,Core-5000,de
4470,erfassen,8,Core-5000,de
4471,einfuhr,8,Core-5000,de
4472,geschwister,8,Core-5000,de
4473,einziehen,8,Core-5000,de
4474,vermieter,8,Core-5000,de
4475,idyllisch,8,Core-5000,de
4476,kriminalität,8,Core-5000,de
4477,kurzem,8,Core-5000,de
4478,lindner,8,Core-5000,de
4479,zusammenkommen,8,Core-5000,de
4480,olympiasiegerin,8,Core-5000,de
4481,san,8,Core-5000,de
4482,fischer,8,Core-5000,de
4483,aufzeigen,8,Core-5000,de
4484,verarbeiten,8,Core-5000,de
4485,überzeugend,8,Core-5000,de
4486,fortführen,8,Core-5000,de
4487,rückblick,8,Core-5000,de
4488,schmecken,8,Core-5000,de
4489,bewältigen,8,Core-5000,de
4490,friedensplan,8,Core-5000,de
4491,day,8,Core-5000,de
4492,abzug,8,Core-5000,de
4493,bewerben,8,Core-5000,de
4494,stopp,8,Core-5000,de
4495,eh,8,Core-5000,de
4496,lächerlich,7,Core-5000,de
4497,jubel,7,Core-5000,de
4498,luzern,7,Core-5000,de
4499,abends,7,Core-5000,de
4500,beat,7,Core-5000,de
4501,verknüpfen,7,Core-5000,de
4502,öfter,7,Core-5000,de
4503,herausstellen,7,Core-5000,de
4504,berechnung,7,Core-5000,de
4505,anpacken,7,Core-5000,de
4506,stammend,7,Core-5000,de
4507,lob,7,Core-5000,de
4508,eigenschaft,7,Core-5000,de
4509,böblingen,7,Core-5000,de
4510,gefälscht,7,Core-5000,de
4511,involvieren,7,Core-5000,de
4512,scott,7,Core-5000,de
4513,zuwachs,7,Core-5000,de
4514,verweigern,7,Core-5000,de
4515,lächeln,7,Core-5000,de
4516,fundament,7,Core-5000,de
4517,bemängeln,7,Core-5000,de
4518,abrufbar,7,Core-5000,de
4519,dhabi,7,Core-5000,de
4520,tragisch,7,Core-5000,de
4521,beachtlich,7,Core-5000,de
4522,tschechien,7,Core-5000,de
4523,unterkunft,7,Core-5000,de
4524,me,7,Core-5000,de
4525,lebensbedrohlich,7,Core-5000,de
4526,nunmehr,7,Core-5000,de
4527,sechster,7,Core-5000,de
4528,saarbrücken,7,Core-5000,de
4529,träger,7,Core-5000,de
4530,aldi,7,Core-5000,de
4531,abziehen,7,Core-5000,de
4532,hinlegen,7,Core-5000,de
4533,behördlich,7,Core-5000,de
4534,bestellung,7,Core-5000,de
4535,dasselbe,7,Core-5000,de
4536,terrorist,7,Core-5000,de
4537,leon,7,Core-5000,de
4538,aufenthalt,7,Core-5000,de
4539,nawrocki,7,Core-5000,de
4540,bock,7,Core-5000,de
4541,prozessor,7,Core-5000,de
4542,überschaubar,7,Core-5000,de
4543,maßgeblich,7,Core-5000,de
4544,missbraucht,7,Core-5000,de
4545,einbetten,7,Core-5000,de
4546,marquez,7,Core-5000,de
4547,ki-gestützt,7,Core-5000,de
4548,verwalten,7,Core-5000,de
4549,zehntausend,7,Core-5000,de
4550,fach,7,Core-5000,de
4551,diagnostizieren,7,Core-5000,de
4552,petra,7,Core-5000,de
4553,protagonist,7,Core-5000,de
4554,sydney,7,Core-5000,de
4555,staunen,7,Core-5000,de
4556,gefangen,7,Core-5000,de
4557,re,7,Core-5000,de
4558,anderswo,7,Core-5000,de
4559,verständigen,7,Core-5000,de
4560,anwesende,7,Core-5000,de
4561,autoritär,7,Core-5000,de
4562,szenario,7,Core-5000,de
4563,tankstelle,7,Core-5000,de
4564,putzen,7,Core-5000,de
4565,aufarbeiten,7,Core-5000,de
4566,grundsatz,7,Core-5000,de
4567,flügel,7,Core-5000,de
4568,hiess,7,Core-5000,de
4569,adac,7,Core-5000,de
4570,privatperson,7,Core-5000,de
4571,kabel,7,Core-5000,de
4572,gedenken,7,Core-5000,de
4573,innenhof,7,Core-5000,de
4574,überweisen,7,Core-5000,de
4575,street,7,Core-5000,de
4576,griechisch,7,Core-5000,de
4577,anrufen,7,Core-5000,de
4578,totschlag,7,Core-5000,de
4579,leipziger,7,Core-5000,de
4580,apa,7,Core-5000,de
4581,modus,7,Core-5000,de
4582,reihen,7,Core-5000,de
4583,abhalten,7,Core-5000,de
4584,dienstagmorgen,7,Core-5000,de
4585,spektakel,7,Core-5000,de
4586,european,7,Core-5000,de
4587,syrisch,7,Core-5000,de
4588,belohnen,7,Core-5000,de
4589,esc,7,Core-5000,de
4590,abfahrt,7,Core-5000,de
4591,freitagmorg,7,Core-5000,de
4592,freitagnachmittag,7,Core-5000,de
4593,untersuchungshaft,7,Core-5000,de
4594,teufel,7,Core-5000,de
4595,sonntagmorgen,7,Core-5000,de
4596,streife,7,Core-5000,de
4597,träne,7,Core-5000,de
4598,un,7,Core-5000,de
4599,op,7,Core-5000,de
4600,sommerpause,7,Core-5000,de
4601,schweizerisch,7,Core-5000,de
4602,el,7,Core-5000,de
4603,tschechisch,7,Core-5000,de
4604,montagnachmittag,7,Core-5000,de
4605,dimension,7,Core-5000,de
4606,justizvollzugsanstalt,7,Core-5000,de
4607,nochmals,7,Core-5000,de
4608,bezahlbar,7,Core-5000,de
4609,ökologisch,7,Core-5000,de
4610,wenigster,7,Core-5000,de
4611,genuss,7,Core-5000,de
4612,websit,7,Core-5000,de
4613,armut,7,Core-5000,de
4614,länderspiel,7,Core-5000,de
4615,vorstandsvorsitzender,7,Core-5000,de
4616,torwart,7,Core-5000,de
4617,ios,7,Core-5000,de
4618,gymnasium,7,Core-5000,de
4619,rekordmeister,7,Core-5000,de
4620,jurist,7,Core-5000,de
4621,runden,7,Core-5000,de
4622,schaf,7,Core-5000,de
4623,angela,7,Core-5000,de
4624,überdenken,7,Core-5000,de
4625,straftäter,7,Core-5000,de
4626,korruption,7,Core-5000,de
4627,hilfslieferung,7,Core-5000,de
4628,katastrophe,7,Core-5000,de
4629,jeher,7,Core-5000,de
4630,einkaufen,7,Core-5000,de
4631,baerbock,7,Core-5000,de
4632,topf,7,Core-5000,de
4633,diskutiert,7,Core-5000,de
4634,norwegen,7,Core-5000,de
4635,anfänglich,7,Core-5000,de
4636,lautsprecher,7,Core-5000,de
4637,virus,7,Core-5000,de
4638,anstelle,7,Core-5000,de
4639,place,7,Core-5000,de
4640,sensor,7,Core-5000,de
4641,armin,7,Core-5000,de
4642,einsicht,7,Core-5000,de
4643,krimi,7,Core-5000,de
4644,leuchtend,7,Core-5000,de
4645,bauteil,7,Core-5000,de
4646,beobachter,7,Core-5000,de
4647,co-trainer,7,Core-5000,de
4648,noah,7,Core-5000,de
4649,prinzessin,7,Core-5000,de
4650,funke,7,Core-5000,de
4651,verrückt,7,Core-5000,de
4652,elisabeth,7,Core-5000,de
4653,commerzbank,7,Core-5000,de
4654,europe,7,Core-5000,de
4655,baldig,7,Core-5000,de
4656,nahverkehr,7,Core-5000,de
4657,darmstadt,7,Core-5000,de
4658,philip,7,Core-5000,de
4659,schwanger,7,Core-5000,de
4660,haustür,7,Core-5000,de
4661,verankern,7,Core-5000,de
4662,demo,7,Core-5000,de
4663,hass,7,Core-5000,de
4664,morgenstunde,7,Core-5000,de
4665,zwischenzeitlich,7,Core-5000,de
4666,ran,7,Core-5000,de
4667,hinsichtlich,7,Core-5000,de
4668,unangenehm,7,Core-5000,de
4669,definieren,7,Core-5000,de
4670,einstieg,7,Core-5000,de
4671,carsten,7,Core-5000,de
4672,entwickelt,7,Core-5000,de
4673,vernetzung,7,Core-5000,de
4674,oliver,7,Core-5000,de
4675,sondervermögen,7,Core-5000,de
4676,wütend,7,Core-5000,de
4677,silber,7,Core-5000,de
4678,gespür,7,Core-5000,de
4679,ordnen,7,Core-5000,de
4680,jagen,7,Core-5000,de
4681,auslegen,7,Core-5000,de
4682,award,7,Core-5000,de
4683,erlassen,7,Core-5000,de
4684,scheidend,7,Core-5000,de
4685,ufer,7,Core-5000,de
4686,make,7,Core-5000,de
4687,gitarre,7,Core-5000,de
4688,to,7,Core-5000,de
4689,zeitplan,7,Core-5000,de
4690,nauheim,7,Core-5000,de
4691,lasse,7,Core-5000,de
4692,grosse,7,Core-5000,de
4693,souveränität,7,Core-5000,de
4694,oh,7,Core-5000,de
4695,loslegen,7,Core-5000,de
4696,jackson,7,Core-5000,de
4697,rühren,7,Core-5000,de
4698,auffallend,7,Core-5000,de
4699,bitcoin,7,Core-5000,de
4700,beklagen,7,Core-5000,de
4701,gesichert,7,Core-5000,de
4702,versehentlich,7,Core-5000,de
4703,erstrecken,7,Core-5000,de
4704,shein,7,Core-5000,de
4705,temu,7,Core-5000,de
4706,forschen,7,Core-5000,de
4707,bindung,7,Core-5000,de
4708,charakter,7,Core-5000,de
4709,familiär,7,Core-5000,de
4710,delmenhorst,7,Core-5000,de
4711,zusagen,7,Core-5000,de
4712,segnen,7,Core-5000,de
4713,kunstwerk,7,Core-5000,de
4714,ausschreibung,7,Core-5000,de
4715,bevorzugen,7,Core-5000,de
4716,samstagvormittag,7,Core-5000,de
4717,arbeitszeit,7,Core-5000,de
4718,bewirken,7,Core-5000,de
4719,ausstehend,7,Core-5000,de
4720,spezifisch,7,Core-5000,de
4721,hansestadt,7,Core-5000,de
4722,ernennung,7,Core-5000,de
4723,aufführung,7,Core-5000,de
4724,angehören,7,Core-5000,de
4725,erwachsen,7,Core-5000,de
4726,entschuldigen,7,Core-5000,de
4727,niederlassung,7,Core-5000,de
4728,vermarkten,7,Core-5000,de
4729,woraufhin,7,Core-5000,de
4730,vollkommen,7,Core-5000,de
4731,schleudern,7,Core-5000,de
4732,hunde,7,Core-5000,de
4733,chemikalie,7,Core-5000,de
4734,wahlergebnis,7,Core-5000,de
4735,überprüfung,7,Core-5000,de
4736,ortszeit,7,Core-5000,de
4737,tablet,7,Core-5000,de
4738,level,7,Core-5000,de
4739,auflaufen,7,Core-5000,de
4740,rettungshubschrauber,7,Core-5000,de
4741,gerichtshof,7,Core-5000,de
4742,lehrerin,7,Core-5000,de
4743,kreisverkehr,7,Core-5000,de
4744,gehalten,7,Core-5000,de
4745,kriminelle,7,Core-5000,de
4746,erdgas,7,Core-5000,de
4747,nase,7,Core-5000,de
4748,kmu,7,Core-5000,de
4749,zuversichtlich,7,Core-5000,de
4750,karriereende,7,Core-5000,de
4751,unsichtbar,7,Core-5000,de
4752,besetzt,7,Core-5000,de
4753,rassismus,7,Core-5000,de
4754,gefeiert,7,Core-5000,de
4755,sonnenschein,7,Core-5000,de
4756,atlantik,7,Core-5000,de
4757,fällig,7,Core-5000,de
4758,neuwahl,7,Core-5000,de
4759,anstehen,7,Core-5000,de
4760,straßenbahn,7,Core-5000,de
4761,schwangerschaft,7,Core-5000,de
4762,attentat,7,Core-5000,de
4763,germany,7,Core-5000,de
4764,aufrufen,7,Core-5000,de
4765,regierend,7,Core-5000,de
4766,apps,7,Core-5000,de
4767,pandemie,7,Core-5000,de
4768,ford,7,Core-5000,de
4769,beschaffung,7,Core-5000,de
4770,landtagsabgeordneter,7,Core-5000,de
4771,kälte,7,Core-5000,de
4772,biden,7,Core-5000,de
4773,umbringen,7,Core-5000,de
